stem,target_path,gen_path,T_CE,T_CU,T_PC,T_PQ,G_CE,G_CU,G_PC,G_PQ
10_country_114_beat_4-4,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/10_country_114_beat_4-4.wav,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/10_country_114_beat_4-4_gen.wav,6.174484729766846,7.648944854736328,2.8270022869110107,7.341182708740234,6.709561347961426,7.826362133026123,3.5823042392730713,7.315357685089111
4_jazz_120_beat_3-4,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/4_jazz_120_beat_3-4.wav,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/4_jazz_120_beat_3-4_gen.wav,5.637409687042236,7.676095485687256,3.0690107345581055,7.500865459442139,5.869982719421387,7.007072448730469,4.811683654785156,6.733314037322998
【楽譜あり】IRIS OUT⧸米津玄師（ピアノソロ上級）劇場版『チェンソーマン レゼ篇』主題歌【ピアノアレンジ楽譜】,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/【楽譜あり】IRIS OUT⧸米津玄師（ピアノソロ上級）劇場版『チェンソーマン レゼ篇』主題歌【ピアノアレンジ楽譜】.mp3,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/【楽譜あり】IRIS OUT⧸米津玄師（ピアノソロ上級）劇場版『チェンソーマン レゼ篇』主題歌【ピアノアレンジ楽譜】_gen.wav,7.603438854217529,7.946119785308838,3.872584819793701,7.958554744720459,7.63641881942749,8.06719970703125,3.9923624992370605,8.098072052001953
【菊花台-周杰倫（D調）】附伴奏⧸鋼琴伴奏(竹笛Bamboo flute、Roland Aerophone AE-10) 演奏：蘇俊琪(PSR-S970)audio-technica AT-2035_60s,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/【菊花台-周杰倫（D調）】附伴奏⧸鋼琴伴奏(竹笛Bamboo flute、Roland Aerophone AE-10) 演奏：蘇俊琪(PSR-S970)audio-technica AT-2035_60s.mp3,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/【菊花台-周杰倫（D調）】附伴奏⧸鋼琴伴奏(竹笛Bamboo flute、Roland Aerophone AE-10) 演奏：蘇俊琪(PSR-S970)audio-technica AT-2035_60s_gen.wav,7.587217807769775,7.917419910430908,4.674015045166016,7.868079662322998,4.9581499099731445,6.1311726570129395,2.6316282749176025,7.158329486846924
Hedwig’s theme x dizi ｜from Harry Potter ｜竹笛也能施魔法！Bamboo flute_60s,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/Hedwig’s theme x dizi ｜from Harry Potter ｜竹笛也能施魔法！Bamboo flute_60s.mp3,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/Hedwig’s theme x dizi ｜from Harry Potter ｜竹笛也能施魔法！Bamboo flute_60s_gen.wav,7.189976692199707,7.547926902770996,3.4778923988342285,7.596523761749268,7.225749969482422,7.895419120788574,3.470871686935425,8.069887161254883
Spirited Away OST「Always With Me ⧸ Itsumo Nando Demo」Ru's Piano Cover [Sheet Music]_60s,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/Spirited Away OST「Always With Me ⧸ Itsumo Nando Demo」Ru's Piano Cover [Sheet Music]_60s.mp3,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/Spirited Away OST「Always With Me ⧸ Itsumo Nando Demo」Ru's Piano Cover [Sheet Music]_60s_gen.wav,7.826286315917969,8.120307922363281,3.211031675338745,7.970842361450195,7.716927528381348,8.101216316223145,3.2322793006896973,8.072925567626953
6_rock_102_beat_3-4,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/6_rock_102_beat_3-4.wav,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/6_rock_102_beat_3-4_gen.wav,6.869592666625977,8.041049003601074,3.2326853275299072,7.758249759674072,6.822983264923096,7.979874134063721,4.763874530792236,7.087658882141113
"Mussorgsky： Pictures at an Exhibition (Pletnev, Andsnes)_60s","/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/Mussorgsky： Pictures at an Exhibition (Pletnev, Andsnes)_60s.mp3","/home/ubuntu/music/HW2/results_task1/task2/music_control_results/Mussorgsky： Pictures at an Exhibition (Pletnev, Andsnes)_60s_gen.wav",7.392798900604248,7.920804977416992,2.8648366928100586,7.728269100189209,7.362077713012695,7.995870590209961,2.6756019592285156,7.969017028808594
竹笛｜这世界那么多人_cover 莫文蔚_60s,/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/竹笛｜这世界那么多人_cover 莫文蔚_60s.mp3,/home/ubuntu/music/HW2/results_task1/task2/music_control_results/竹笛｜这世界那么多人_cover 莫文蔚_60s_gen.wav,7.630184173583984,8.003955841064453,3.9794368743896484,7.783132076263428,7.324759006500244,8.135215759277344,3.058713674545288,7.844239711761475
